artists,genres
A. Likiardopoulou,[]
A. M. Rajah,"['deep indian pop', 'filmi']"
A. Merangulian,[]
A. Merangulian with folk instrumental ensemble,[]
A. P. Komala,[]
A. R. Ojha,[]
A. R. Oza,[]
A. R. Qureshi,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']"
A. Xatzixristos,[]
A.B. Quintanilla III,[]
A.B. Quintanilla III Y Los Kumbia Kings,[]
A.C. Chill,['dirty texas rap']
A.D.N.,[]
A.G.,[]
A.J. Croce,[]
A.l.t.,[]
A.Loraarrero,[]
A.R. Kane,"['dream pop', 'shoegaze']"
A.R. Rahman,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
A.r.d.i.,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'uplifting trance']"
A.S.N.,[]
A*Teens,"['bubblegum dance', 'dance pop', 'europop']"
A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
A19,[]
A2M,[]
A7S,['scandipop']
AAA,"['japanese alternative rock', 'japanese electropop', 'japanese r&b']"
Aadesh Shrivastava,['modern bollywood']
Aage Braarud,[]
Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Aalon,[]
Aarigod,[]
Aaron Beta,['ghoststep']
Aaron Carter,"['dance pop', 'post-teen pop']"
Aaron Copland,"['american modern classical', 'classical', 'early modern classical']"
Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Aaron Krause,[]
Aaron Kwok,"['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop']"
Aaron Lewis,"['contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']"
Aaron Lohr,[]
Aaron May,"['rap', 'underground hip hop']"
Aaron Neville,['soul']
Aaron Shaw,[]
Aaron Shust,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']"
Aaron Smith,['chicago house']
Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']"
Aaron Tveit,"['broadway', 'hollywood', 'show tunes']"
Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']"
Aaron Y Su Grupo Ilusion,"['cumbia sonidera', 'ranchera', 'regional mexican']"
Aarti Mukherji,"['classic bollywood', 'filmi']"
Aase Ziegler,[]
Aavepyora,['suomisaundi']
Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
AB6IX,"['k-pop', 'k-pop boy group']"
Abandon Kansas,"['christian rock', 'dreamo']"
ABBA,"['europop', 'swedish pop']"
Abbasuddin Ahmed,[]
Abbey Lincoln,['vocal jazz']
Abby,"['contemporary country', 'country pop']"
Abby Anderson,"['contemporary country', 'country pop']"
ABC,"[""preschool children's music""]"
Abdel Aziz Mahmoud,[]
Abdel Ghany El Sayed,[]
Abdel Halim Hafez,"['arab folk', 'classic arab pop']"
